Справочник "Номенклатура"			
 			
Код	Наименование	Единица измерения	Срок годности, суток
8	Говядина ПРИМА в п/т или в четв.без выр	кг	0
9	Говядина СУПЕР в п/т или в четв.	кг	0
10	Говядина тощая в п/т. или четв.	кг	0
1532	Говядина тощая в п/т. или четв. для промышленной переработки	кг	0
11	Говядина УДОВЛЕТВОРИТЕЛЬНАЯ в п/т или в четв.	кг	0
1544	Говядина УДОВЛЕТВОРИТЕЛЬНАЯ в п/т или в четв. для П/П	кг	0
12	Говядина ХОРОШАЯ в п/т или в четв.без выр	кг	0
13	Говядина ЭКСТРА в п/т или в четв.без выр	кг	0
14	Телятина 1 кат. в п/т. или четв. без выр.	кг	0
15	Телятина 2 кат. в п/т. или четв. без выр.	кг	0
16	Телятина тощая в п/т. или четв.	кг	0
1546	Телятина тощая в п/т. или четв. для П/П	кг	0
17	Говядина в п/т, ч/т Зам.		0
18	Говядина в п/т, ч/т Охл.		0
19	Говядина 1 кат. в п/т. или четв. с выр. охл.	кг	16
1553	Говядина 2 кат. в п/т. или четв. с вырезкой охл. для промышленной переработки	кг	16
837	Говядина 2 кат. в п/т. или четв. с/в зам.	кг	365
20	Говядина 2 кат. в п/т. или четв. с/в охл.	кг	16
841	Говядина 2 кат. в полутушах или четвертинах с вырезкой охл.	кг	16
22	Говядина кат. ОТЛИЧНАЯ в полутушах или в четвертинах с вырезкой охлажденная	кг	16
26	Говядина кат. УДОВЛЕТВОРИТЕЛЬНАЯ в полутушах или в четвертинах с вырезкой охлажденная	кг	16
21	Говядина НИЗКАЯ в п/т или в четв.с выр охл.	кг	16
1609	Говядина НИЗКАЯ в п/т или в четв.с выр охл. для промышленной переработки	кг	16
23	Говядина ПРИМА в п/т или в четв.с выр охл.	кг	16
24	Говядина СУПЕР в п/т или в четв.с выр охл.	кг	16
514	Говядина тощая в п/т. или четв. для п/п  охл.	кг	16
854	Говядина тощая в п/т. или четв. с выр. зам.	кг	16
25	Говядина тощая в п/т. или четв. с выр. охл.	кг	16
1538	Говядина тощая в п/т. или четв. с выр. охл. для промпереработки	кг	16
1543	Говядина УДОВЛЕТВОРИТЕЛЬНАЯ в п/т или в четв.с выр охл. для П/П	кг	16
27	Говядина ХОРОШАЯ в п/т или в четв.с выр охл.	кг	16
28	Говядина ЭКСТРА в п/т или в четв.с выр охл.	кг	16
1661	Мясо обваленое говяжье охл. п/п	кг	0
29	Телятина 1 кат. в п/т. или четв. с выр. охл.	кг	16
30	Телятина 2 кат. в п/т. или четв. с выр. охл.	кг	16
31	Телятина тощая в п/т. или четв. с выр. охл.	кг	16
1545	Телятина тощая в п/т. или четв. с выр. охл. для П/П	кг	16
32	Кишечное сырье		0
526	Гузенка-полуфабрикат свиной охл	кг	0
525	Гузенка-полуфабрикат свиной соленый зам.	кг	730
524	Гузенка-полуфабрикат свиной соленый охл.	кг	548
527	Мочевой пузырь-полуфабрикат свиной охл	кг	0
